,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nooit Thuis",Boef,215264,https://open.spotify.com/track/63ANvDI7YAyD6BzCpMGkOH
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,206340,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Roses - Imanbek Remix","SAINt JHN",155239,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,149206,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
5,"Video Vixen","Bilal Wahib",146890,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
6,Kleur,Snelle,141663,https://open.spotify.com/track/6yBPWtwnlHgRTHfxK1MPwJ
7,"Breaking Me",Topic,136932,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
8,"ily (i love you baby) (feat. Emilee)","Surf Mesa",132045,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
9,"Blinding Lights","The Weeknd",131179,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,Treinstation,Boef,129939,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
11,"Watermelon Sugar","Harry Styles",122050,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
12,MAMACITA,"Black Eyed Peas",121776,https://open.spotify.com/track/2g1ukx0VolwI31t8z5vprw
13,"Rain On Me (with Ariana Grande)","Lady Gaga",117362,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
14,"Break My Heart","Dua Lipa",110600,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
15,"Stuck with U (with Justin Bieber)","Ariana Grande",107567,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
16,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,105113,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
17,Supalonely,BENEE,101899,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
18,"Toosie Slide",Drake,99811,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
19,Gordelweg,Kevin,99406,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
20,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,98726,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
21,"Weg Van Jou","Suzan & Freek",94958,https://open.spotify.com/track/33wHYQYh10c3XmaAtGkTEn
22,"Intentions (feat. Quavo)","Justin Bieber",89913,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
23,Tigers,"Bilal Wahib",85457,https://open.spotify.com/track/7jnaow1bGpKO2VkgtYE8Vv
24,"Het Is Al Laat Toch",Racoon,85040,https://open.spotify.com/track/5OhjkylPjKnmR7I2gnVNwz
25,"Alleen Soms",Lijpe,84475,https://open.spotify.com/track/0vC6bkhlWhBNjP8CsuLL6n
26,"Lose Somebody",Kygo,84088,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
27,"In Your Eyes","The Weeknd",83734,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
28,"Soldier On",DI-RECT,83650,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie
29,"Rover (feat. DTG)",S1mba,81893,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
30,"Jongen Van De Straat","Lil Kleine",81401,https://open.spotify.com/track/1dbI31tdknCDHwJ9j6yGYB
31,Secrets,Regard,80963,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
32,"Wat Is Je Naam","Yxng Le",79442,https://open.spotify.com/track/4SlqfJkQNAS7A5cvjBvQ3C
33,"In Your Eyes (feat. Alida)","Robin Schulz",79384,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
34,"17 Miljoen Mensen - Live @538 in Ahoy","Davina Michelle",79350,https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz
35,"Party Girl",StaySolidRocky,78007,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
36,"Beat Me - Official Song F1 Dutch Grand Prix","Davina Michelle",76547,https://open.spotify.com/track/14gRdLQLwq1qn9chxmAEBY
37,"Mijn Story",Lijpe,75345,https://open.spotify.com/track/2D0mZzm2KYzxhSI8pgfL7z
38,Doorheen,Bizzey,73489,https://open.spotify.com/track/47WOpiylErrpbiba0lv2KT
39,"Pa Olvidarte (Beste Zangers Seizoen 2019)","Emma Heesters",72731,https://open.spotify.com/track/1RO8Q3w2Jkir8cvvGEApI0
40,"Loop Niet Weg","Kris Kross Amsterdam",70546,https://open.spotify.com/track/7fmExiQZjHLyDv5SC1EhDg
41,"Alles Of Niks",Lijpe,68585,https://open.spotify.com/track/3QNIVeU37soOx1RAcIzZCY
42,"Waar Ga Je Heen","Emma Heesters",68165,https://open.spotify.com/track/5G6hrPIse64sqdsqVxBK78
43,"Dance Monkey","Tones And I",67969,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
44,"Be Kind (with Halsey)",Marshmello,66975,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
45,Salt,"Ava Max",65685,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
46,"Before You Go","Lewis Capaldi",63010,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
47,"Savage Love (Laxed - Siren Beat)","Jawsh 685",61186,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
48,"Don't Start Now","Dua Lipa",60623,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
49,"Someone You Loved","Lewis Capaldi",60287,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
50,"Blueberry Faygo","Lil Mosey",59182,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
51,Vastberaden,Lijpe,57189,https://open.spotify.com/track/1Opl9f8vUkITqvpgAqF5xW
52,GOOBA,6ix9ine,54999,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
53,"Drown (feat. Clinton Kane)","Martin Garrix",54727,https://open.spotify.com/track/4RVtBlHFKj51Ipvpfv5ER4
54,"Rode Wijn",Maan,54122,https://open.spotify.com/track/4BIS9PtQ3zf5IWYpWZxzjb
55,"Busje (feat. Chivv & Lauwtje)",Zefanio,53128,https://open.spotify.com/track/7hj4Xv47rqWXyEZRmmQm7G
56,"Roller Coaster","Danny Vera",52925,https://open.spotify.com/track/7rO7Pc5dkC2EIW1OKsCJtQ
57,"Love To Go","Lost Frequencies",52454,https://open.spotify.com/track/3ZjkQbe5JzzQbzRtkXyZNv
58,"TKN (feat. Travis Scott)",ROSALÍA,51242,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
59,"Never Seen the Rain","Tones And I",50784,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
60,"Alone, Pt. II","Alan Walker",50472,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
61,"Blauwe Lichten",Lijpe,49904,https://open.spotify.com/track/6Rr3po787cDfLhUZVdLqbu
62,Underdog,"Alicia Keys",49548,https://open.spotify.com/track/3FGiFUJRRp5RGikVrs6kig
63,Afrika,Chivv,46631,https://open.spotify.com/track/5ycG4LVw0qIbb5XZ3HVeIu
64,"Say So","Doja Cat",46138,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
65,Changes,"Ilse DeLange",45974,https://open.spotify.com/track/0koqWgFPqooMDME3pP07X1
66,"The Box","Roddy Ricch",44330,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
67,"TROLLZ (with Nicki Minaj)",6ix9ine,44258,https://open.spotify.com/track/3dVvWnj4D8JGkKvo6Hucso
68,"Ride It",Regard,43830,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
69,Downfall,"Jonna Fraser",43367,https://open.spotify.com/track/0RJUURG5SBSyzoGwgdDYqV
70,Smoorverliefd,Snelle,43317,https://open.spotify.com/track/2ryMKWtH2SEQY8fTAclFYb
71,"Hoe Het Danst","Marco Borsato",43050,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq
72,"Nothing Really Matters",Tiësto,43029,https://open.spotify.com/track/68k26eEoH1e3Rhi811qecM
73,"X (with KAROL G)","Jonas Brothers",42505,https://open.spotify.com/track/77fvnWALKJR0ws1VUx09CY
74,"De Prijs",Lijpe,42471,https://open.spotify.com/track/5hptdpE5bqoTXufUrkgt18
75,"THE SCOTTS","THE SCOTTS",42090,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
76,"WHATS POPPIN","Jack Harlow",41196,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
77,"If the World Was Ending - feat. Julia Michaels","JP Saxe",39520,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
78,Reünie,Snelle,39342,https://open.spotify.com/track/5S7YAM3lcfPNBSTVyciwCu
79,"Someone Else","Duncan Laurence",39193,https://open.spotify.com/track/1qwhigC9EoQzc4oRElzdNI
80,Memories,"Maroon 5",38689,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
81,Feestje,Fmg,38677,https://open.spotify.com/track/2ueVHF9lPkLB1SkkybBbjQ
82,Physical,"Dua Lipa",38427,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
83,"Slapen Met Het Licht Aan",Tabitha,37683,https://open.spotify.com/track/1aP9YZG3Pghfa1aBlNV6ts
84,"Niet Genoeg",Lijpe,37589,https://open.spotify.com/track/0xElJecFqIhqjzSIe7W8cB
85,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",37258,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
86,"2 Hearts (feat. Gia Koka)","Sam Feldt",37225,https://open.spotify.com/track/0EdgK7ASb4kfRkW8pVMN02
87,"Sunday Best",Surfaces,37062,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
88,"Duurt Te Lang (Beste Zangers Seizoen 2019)","Davina Michelle",36993,https://open.spotify.com/track/2rzZ0IGxgrGUAPwrWn80z7
89,DomDoen,"Henkie T",36770,https://open.spotify.com/track/5vJpSCkDDqLE6bNF4cRqRG
90,"Allemaal Op Brieven",Lijpe,36619,https://open.spotify.com/track/7bWMBeaGqQ1Y7Gbn8vrlSh
91,Circles,"Post Malone",36408,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
92,Magisch,"Yade Lauren",36389,https://open.spotify.com/track/7G7fGz8Wx3ilNnUYEDw0cR
93,"Life Is Good (feat. Drake)",Future,36108,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
94,"Nog Steeds",Lijpe,36036,https://open.spotify.com/track/6Q7vV4i8lXiEwhBJkykpBl
95,Señorita,"Shawn Mendes",35602,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
96,Trouble,Chef'Special,35570,https://open.spotify.com/track/1dEeFAA7955dEhviWfLMqr
97,"Higher Ground (feat. John Martin)","Martin Garrix",35544,https://open.spotify.com/track/0rohJsT6NWsThpukt0Xxdc
98,A5,DODO,35530,https://open.spotify.com/track/5K4FKzmhZA9nNUAsWwUhaE
99,"Play Date","Melanie Martinez",35212,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
100,"Level of Concern","Twenty One Pilots",35050,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
101,Venus,Frenna,34980,https://open.spotify.com/track/0yq0Hg6IzgaT0Tm91op97y
102,Falling,"Trevor Daniel",34764,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
103,goosebumps,"Travis Scott",34729,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
104,Winterdagen,Lijpe,34721,https://open.spotify.com/track/26uLOAyrbSVFGs3C7wMuFH
105,"Adore You","Harry Styles",33883,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
106,"Know Your Worth",Khalid,33672,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
