,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Tigers,"Bilal Wahib",413345,https://open.spotify.com/track/7jnaow1bGpKO2VkgtYE8Vv
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,220993,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Nooit Thuis",Boef,209225,https://open.spotify.com/track/63ANvDI7YAyD6BzCpMGkOH
4,"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix",Conkarah,188115,https://open.spotify.com/track/0dZpw3h6KZhcHec61qwevZ
5,"Vakantie (with Jonna Fraser)",Dopebwoy,186066,https://open.spotify.com/track/2sE0IOF0pCl7hd4pi5QpgI
6,MAMACITA,"Black Eyed Peas",157741,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
7,"Video Vixen","Bilal Wahib",156043,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
8,"Roses - Imanbek Remix","SAINt JHN",155757,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
9,Kleur,Snelle,151161,https://open.spotify.com/track/6yBPWtwnlHgRTHfxK1MPwJ
10,"Savage Love (Laxed - Siren Beat)","Jawsh 685",150642,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
11,"Watermelon Sugar","Harry Styles",144025,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
12,"ily (i love you baby) (feat. Emilee)","Surf Mesa",140471,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
13,"Breaking Me",Topic,140272,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
14,"Blinding Lights","The Weeknd",128451,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,"Get It All (feat. Boef & Henkie T)","Bryan Mg",124385,https://open.spotify.com/track/6dLKeM6ypiRa5J09axUzvN
16,"Rover (feat. DTG)",S1mba,120707,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
17,"Rain On Me (with Ariana Grande)","Lady Gaga",119550,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
18,"Break My Heart","Dua Lipa",117343,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
