,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Treinstation,Boef,230488,https://open.spotify.com/track/25w9EAbgKDa7XSSC7MYXKk
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,210238,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,Gordelweg,Kevin,180120,https://open.spotify.com/track/2vZwuxoRNuhZ93PWhcVbnN
4,"Roses - Imanbek Remix","SAINt JHN",178061,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"Blinding Lights","The Weeknd",158034,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
6,"ily (i love you baby) (feat. Emilee)","Surf Mesa",153473,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
7,"Breaking Me",Topic,146190,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
8,"Video Vixen","Bilal Wahib",139123,https://open.spotify.com/track/0PEPCo71Ys1EBtTAnYCgw4
9,"Mijn Story",Lijpe,137514,https://open.spotify.com/track/5KtY0IwKXjTtKsco3iEkyf
10,"Rain On Me (with Ariana Grande)","Lady Gaga",132783,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
11,"Toosie Slide",Drake,131615,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
12,Supalonely,BENEE,123612,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
13,"Break My Heart","Dua Lipa",119286,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
14,"Stuck with U (with Justin Bieber)","Ariana Grande",118758,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
15,"death bed (coffee for your head) (feat. beabadoobee)",Powfu,105756,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
16,"Christian Dior (feat. Bryan Mg & SRNO)",Dopebwoy,104448,https://open.spotify.com/track/101Guv5qCWiDv0rufQuhmX
17,"17 Miljoen Mensen - Live @538 in Ahoy","Davina Michelle",101543,https://open.spotify.com/track/7e42rjxCt8tPjglU9VyBcz
18,"Het Is Al Laat Toch",Racoon,99592,https://open.spotify.com/track/5OhjkylPjKnmR7I2gnVNwz
19,"Intentions (feat. Quavo)","Justin Bieber",98233,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
20,Doorheen,Bizzey,96849,https://open.spotify.com/track/47WOpiylErrpbiba0lv2KT
21,"Soldier On",DI-RECT,94267,https://open.spotify.com/track/5ciRElWhvA0LuG2hQi90Ie
22,"In Your Eyes (feat. Alida)","Robin Schulz",91268,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
